resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_locale_preferred[fr],name_external_id[fr],concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20199,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20199/,CONCEPT-SET,,,
Concept,PIH,PIH,,20200,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20200/,CONCEPT-SET,,,
Concept,PIH,PIH,,20201,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20201/,CONCEPT-SET,,,
Concept,PIH,PIH,,20202,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20202/,CONCEPT-SET,,,
Concept,PIH,PIH,,20203,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20203/,CONCEPT-SET,,,
Concept,PIH,PIH,,20204,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20204/,CONCEPT-SET,,,
Concept,PIH,PIH,,20205,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20205/,CONCEPT-SET,,,
Concept,PIH,PIH,,20207,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20207/,CONCEPT-SET,,,
Concept,PIH,PIH,,20208,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20208/,CONCEPT-SET,,,
Concept,PIH,PIH,,20209,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20209/,CONCEPT-SET,,,
Concept,PIH,PIH,,20210,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20210/,CONCEPT-SET,,,
Concept,PIH,PIH,,20211,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20211/,CONCEPT-SET,,,
Concept,PIH,PIH,,20212,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20212/,CONCEPT-SET,,,
Concept,PIH,PIH,,7947,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/7947/,CONCEPT-SET,,,
